"iid","year","revenue","age","white","college","male","hh_inc"
14,0,132.98,29,0.3241053,0.2868369,0,40.322
14,1,216.21,29,0.3241053,0.2868369,0,40.322
14,2,169.94,29,0.3241053,0.2868369,0,40.322
14,3,76.23,29,0.3241053,0.2868369,0,40.322
14,4,172.05,29,0.3241053,0.2868369,0,40.322
14,5,0,29,0.3241053,0.2868369,0,40.322
14,6,0,29,0.3241053,0.2868369,0,40.322
14,7,0,29,0.3241053,0.2868369,0,40.322
14,8,0,29,0.3241053,0.2868369,0,40.322
14,9,0,29,0.3241053,0.2868369,0,40.322
19,0,171.98,55,0.8723629,0.517023,0,72.5
19,1,153.77,55,0.8723629,0.517023,0,72.5
19,2,66.62,55,0.8723629,0.517023,0,72.5
19,3,58.45,55,0.8723629,0.517023,0,72.5
19,4,228.92,55,0.8723629,0.517023,0,72.5
19,5,149.24,55,0.8723629,0.517023,0,72.5
19,6,161.57,55,0.8723629,0.517023,0,72.5
19,7,179.18,55,0.8723629,0.517023,0,72.5
19,8,142.36,55,0.8723629,0.517023,0,72.5
19,9,0,55,0.8723629,0.517023,0,72.5
20,0,92,47,0.9808348,0.5246835,0,90.582
20,1,100.3,47,0.9808348,0.5246835,0,90.582
20,2,94.18,47,0.9808348,0.5246835,0,90.582
20,3,100.28,47,0.9808348,0.5246835,0,90.582
20,4,87.62,47,0.9808348,0.5246835,0,90.582
20,5,82.51,47,0.9808348,0.5246835,0,90.582
20,6,135.57,47,0.9808348,0.5246835,0,90.582
20,7,117.32,47,0.9808348,0.5246835,0,90.582
20,8,52.36,47,0.9808348,0.5246835,0,90.582
20,9,95.87,47,0.9808348,0.5246835,0,90.582
27,0,49.95,40,0.4638865,0.1825573,0,52.621
27,1,0,40,0.4638865,0.1825573,0,52.621
27,2,0,40,0.4638865,0.1825573,0,52.621
27,3,0,40,0.4638865,0.1825573,0,52.621
27,4,0,40,0.4638865,0.1825573,0,52.621
27,5,0,40,0.4638865,0.1825573,0,52.621
27,6,0,40,0.4638865,0.1825573,0,52.621
27,7,0,40,0.4638865,0.1825573,0,52.621
27,8,0,40,0.4638865,0.1825573,0,52.621
27,9,0,40,0.4638865,0.1825573,0,52.621
58,0,367.95,49,0.76072,0.5241683,0,32.278
58,1,381.21,49,0.76072,0.5241683,0,32.278
58,2,467.38,49,0.76072,0.5241683,0,32.278
58,3,0,49,0.76072,0.5241683,0,32.278
58,4,0,49,0.76072,0.5241683,0,32.278
58,5,0,49,0.76072,0.5241683,0,32.278
58,6,0,49,0.76072,0.5241683,0,32.278
58,7,0,49,0.76072,0.5241683,0,32.278
58,8,0,49,0.76072,0.5241683,0,32.278
58,9,0,49,0.76072,0.5241683,0,32.278
77,0,85.97,38,0.8887451,0.9465517,0,110
77,1,109.93,38,0.8887451,0.9465517,0,110
77,2,70.61,38,0.8887451,0.9465517,0,110
77,3,77.57,38,0.8887451,0.9465517,0,110
77,4,44.16,38,0.8887451,0.9465517,0,110
77,5,123.18,38,0.8887451,0.9465517,0,110
77,6,0,38,0.8887451,0.9465517,0,110
77,7,0,38,0.8887451,0.9465517,0,110
77,8,0,38,0.8887451,0.9465517,0,110
77,9,0,38,0.8887451,0.9465517,0,110
82,0,617.97,40,0.9015385,0.7931035,0,112.556
82,1,927.59,40,0.9015385,0.7931035,0,112.556
82,2,0,40,0.9015385,0.7931035,0,112.556
82,3,0,40,0.9015385,0.7931035,0,112.556
82,4,0,40,0.9015385,0.7931035,0,112.556
82,5,0,40,0.9015385,0.7931035,0,112.556
82,6,0,40,0.9015385,0.7931035,0,112.556
82,7,0,40,0.9015385,0.7931035,0,112.556
82,8,0,40,0.9015385,0.7931035,0,112.556
82,9,0,40,0.9015385,0.7931035,0,112.556
99,0,34,24,0.9152348,0.0578125,0,42.745
99,1,18.17,24,0.9152348,0.0578125,0,42.745
99,2,0,24,0.9152348,0.0578125,0,42.745
99,3,0,24,0.9152348,0.0578125,0,42.745
99,4,0,24,0.9152348,0.0578125,0,42.745
99,5,0,24,0.9152348,0.0578125,0,42.745
99,6,0,24,0.9152348,0.0578125,0,42.745
99,7,0,24,0.9152348,0.0578125,0,42.745
99,8,0,24,0.9152348,0.0578125,0,42.745
99,9,0,24,0.9152348,0.0578125,0,42.745
143,0,603,53,0.9380531,0.3482587,0,82.917
143,1,698.31,53,0.9380531,0.3482587,0,82.917
143,2,687.15,53,0.9380531,0.3482587,0,82.917
143,3,439.38,53,0.9380531,0.3482587,0,82.917
143,4,499.95,53,0.9380531,0.3482587,0,82.917
143,5,723.82,53,0.9380531,0.3482587,0,82.917
143,6,574.23,53,0.9380531,0.3482587,0,82.917
143,7,767.45,53,0.9380531,0.3482587,0,82.917
143,8,775.79,53,0.9380531,0.3482587,0,82.917
143,9,706.45,53,0.9380531,0.3482587,0,82.917
148,0,89.9,31,0.957914,0.1487985,0,34.559
148,1,0,31,0.957914,0.1487985,0,34.559
148,2,0,31,0.957914,0.1487985,0,34.559
148,3,0,31,0.957914,0.1487985,0,34.559
148,4,0,31,0.957914,0.1487985,0,34.559
148,5,0,31,0.957914,0.1487985,0,34.559
148,6,0,31,0.957914,0.1487985,0,34.559
148,7,0,31,0.957914,0.1487985,0,34.559
148,8,0,31,0.957914,0.1487985,0,34.559
148,9,0,31,0.957914,0.1487985,0,34.559
155,0,499,41,0.8142753,0.7763578,0,39.225
155,1,631.66,41,0.8142753,0.7763578,0,39.225
155,2,425.35,41,0.8142753,0.7763578,0,39.225
155,3,592.77,41,0.8142753,0.7763578,0,39.225
155,4,0,41,0.8142753,0.7763578,0,39.225
155,5,0,41,0.8142753,0.7763578,0,39.225
155,6,0,41,0.8142753,0.7763578,0,39.225
155,7,0,41,0.8142753,0.7763578,0,39.225
155,8,0,41,0.8142753,0.7763578,0,39.225
155,9,0,41,0.8142753,0.7763578,0,39.225
159,0,65,21,1,0.1774193,0,32.438
159,1,0,21,1,0.1774193,0,32.438
159,2,0,21,1,0.1774193,0,32.438
159,3,0,21,1,0.1774193,0,32.438
159,4,0,21,1,0.1774193,0,32.438
159,5,0,21,1,0.1774193,0,32.438
159,6,0,21,1,0.1774193,0,32.438
159,7,0,21,1,0.1774193,0,32.438
159,8,0,21,1,0.1774193,0,32.438
159,9,0,21,1,0.1774193,0,32.438
166,0,24.95,41,0.3051225,0.7797357,0,104.286
166,1,37.64,41,0.3051225,0.7797357,0,104.286
166,2,30.51,41,0.3051225,0.7797357,0,104.286
166,3,17.51,41,0.3051225,0.7797357,0,104.286
166,4,19.1,41,0.3051225,0.7797357,0,104.286
166,5,19.17,41,0.3051225,0.7797357,0,104.286
166,6,0,41,0.3051225,0.7797357,0,104.286
166,7,0,41,0.3051225,0.7797357,0,104.286
166,8,0,41,0.3051225,0.7797357,0,104.286
166,9,0,41,0.3051225,0.7797357,0,104.286
173,0,257.69,42,0.9571865,0.3553191,0,36.494
173,1,195.61,42,0.9571865,0.3553191,0,36.494
173,2,221.56,42,0.9571865,0.3553191,0,36.494
173,3,121.26,42,0.9571865,0.3553191,0,36.494
173,4,174.31,42,0.9571865,0.3553191,0,36.494
173,5,0,42,0.9571865,0.3553191,0,36.494
173,6,0,42,0.9571865,0.3553191,0,36.494
173,7,0,42,0.9571865,0.3553191,0,36.494
173,8,0,42,0.9571865,0.3553191,0,36.494
173,9,0,42,0.9571865,0.3553191,0,36.494
180,0,395.9,70,0.7708049,0.9392523,0,94.737
180,1,528.26,70,0.7708049,0.9392523,0,94.737
180,2,497.9,70,0.7708049,0.9392523,0,94.737
180,3,633.69,70,0.7708049,0.9392523,0,94.737
180,4,501.2,70,0.7708049,0.9392523,0,94.737
180,5,475.66,70,0.7708049,0.9392523,0,94.737
180,6,514.22,70,0.7708049,0.9392523,0,94.737
180,7,418.06,70,0.7708049,0.9392523,0,94.737
180,8,0,70,0.7708049,0.9392523,0,94.737
180,9,0,70,0.7708049,0.9392523,0,94.737
197,0,57,34,0.3511831,0.5755627,0,43.451
197,1,52.52,34,0.3511831,0.5755627,0,43.451
197,2,63.02,34,0.3511831,0.5755627,0,43.451
197,3,0,34,0.3511831,0.5755627,0,43.451
197,4,0,34,0.3511831,0.5755627,0,43.451
197,5,0,34,0.3511831,0.5755627,0,43.451
197,6,0,34,0.3511831,0.5755627,0,43.451
197,7,0,34,0.3511831,0.5755627,0,43.451
197,8,0,34,0.3511831,0.5755627,0,43.451
197,9,0,34,0.3511831,0.5755627,0,43.451
199,0,34.97,41,0.6403464,0.7028232,0,148.603
199,1,36.36,41,0.6403464,0.7028232,0,148.603
199,2,43.02,41,0.6403464,0.7028232,0,148.603
199,3,36.93,41,0.6403464,0.7028232,0,148.603
199,4,38.87,41,0.6403464,0.7028232,0,148.603
199,5,23.93,41,0.6403464,0.7028232,0,148.603
199,6,41.3,41,0.6403464,0.7028232,0,148.603
199,7,28.69,41,0.6403464,0.7028232,0,148.603
199,8,35.96,41,0.6403464,0.7028232,0,148.603
199,9,0,41,0.6403464,0.7028232,0,148.603
200,0,34,51,0.913936,0.5323097,0,124.25
200,1,33.89,51,0.913936,0.5323097,0,124.25
200,2,14.55,51,0.913936,0.5323097,0,124.25
200,3,36.56,51,0.913936,0.5323097,0,124.25
200,4,34.92,51,0.913936,0.5323097,0,124.25
200,5,24.39,51,0.913936,0.5323097,0,124.25
200,6,15.63,51,0.913936,0.5323097,0,124.25
200,7,25.5,51,0.913936,0.5323097,0,124.25
200,8,0,51,0.913936,0.5323097,0,124.25
200,9,0,51,0.913936,0.5323097,0,124.25
206,0,88,23,0.4465959,0,0,27.475
206,1,93.73,23,0.4465959,0,0,27.475
206,2,101.96,23,0.4465959,0,0,27.475
206,3,109.43,23,0.4465959,0,0,27.475
206,4,89.04,23,0.4465959,0,0,27.475
206,5,88.28,23,0.4465959,0,0,27.475
206,6,0,23,0.4465959,0,0,27.475
206,7,0,23,0.4465959,0,0,27.475
206,8,0,23,0.4465959,0,0,27.475
206,9,0,23,0.4465959,0,0,27.475
219,0,138.98,55,0.9408867,0.3237339,0,74.196
219,1,147.52,55,0.9408867,0.3237339,0,74.196
