"","productId","price","brand","name","desc","category","mens","avg_rating","avg_size","avg_backpacking","avg_dayhiking","avg_trail_running","avg_running","cushion","weight","sales"
"1",105218,140,"Dansko","Dansko Women's Paisley Shoes","Sporting subtle contrast hints for distinctive style, the lace-to-toe Dansko Paisley shoes hold their own in inclement weather with waterproof uppers and grippy Vibram rubber outsoles.","general shoes",0,4.51851851851852,9.0625,0,0,0,0,"Medium",3.16053618651283,10.0692113725395
"2",105339,270,"Lowa","Lowa Men's Zephyr GTX Hi TF Hiking Boots","Designed to be faster, lighter boots that can tackle punishing conditions, the tall-shafted Lowa Zephyr GTX Hi TF hiking boots offer great support and rebound with a waterproof lining.","hiking",0,4.41666666666667,11.875,0.25,0.333333333333333,0,0,"High",4.97001361960029,10.1313958722469
"3",105340,450,"Lowa","Lowa Men's Tibet GTX Hi Hiking Boots","Built with the same features that make the shorter model beloved by backpackers, hikers and hunters, the taller Lowa Tibet GTX Hi hiking boots have an extra hook for added support and stability.","hiking",0,4.25,10.5,0.25,0.25,0,0,"High",6.75903342201406,8.85653908849627
"4",105396,139.95,"Salomon","Salomon Men's Shelter Climashield Waterproof Boots","The Salomon Shelter Climashield waterproof boots offer urban style with a clean soft-shell design. Enjoy legendary fit, warmth and protection for tough winter weather, in and out of the city.","hiking",0,4.35294117647059,10.875,0,0,0,0,"Medium",3.06852618747288,10.7830864755485
"5",105484,209.95,"Danner","Danner Women's Mountain 600 Hiking Boots","Inspired by the original Mountain Light, the women's Danner Mountain 600 waterproof hiking boots blend the functionality of a lightweight, technical hiker with iconic Danner style.","hiking",0,4.57692307692308,8.32608695652174,0.423076923076923,1,0,0,"High",5.25437311230062,11.1494864691168
"6",105485,209.95,"Danner","Danner Men's Mountain 600 Hiking Boots","Inspired by the original Mountain Light, the waterproof Danner Mountain 600 men's hiking boots blend the functionality of a lightweight, technical hiker with iconic Danner styling.","hiking",0,4.4,10.75,0.8,0.7,0,0,"High",4.76999936450367,10.2396190438497
"7",105698,210,"Oboz","Oboz Women's Bridger 7"""""""""""""""" Insulated Waterproof Boots","Since your exploits go beyond shoveling the walk, Oboz took the Bridger precision fit and added 200 g insulation, wool-topped footbeds and cold-weather-specific outsoles with winter rubber.","hiking",0,4.33333333333333,8.2,0,0,0,0,"High",3.83154647260971,10.0787261138196
"8",105721,210,"Oboz","Oboz Men's Bridger 8"""""""""""""""" Insulated Waterproof Boots","Since your exploits go beyond shoveling the walk, Oboz took the men's Bridger precision fit and added 200 g insulation, wool-topped footbeds and cold-weather-specific outsoles with winter rubber.","hiking",0,4.28571428571429,10.6162790697674,0,0,0,0,"High",3.80524380460068,10.1287581875189
"9",105903,134.95,"Merrell","Merrell Women's ColdPack Ice+ Moc Waterproof Winter Shoes","Protect your precious piggies from winter chill in the Merrell ColdPack Ice+ Moc Waterproof shoes. They offer warm, waterproof performance and good grip on icy terrain, thanks to Vibram Arctic Grip™.","general shoes",0,4.64102564102564,8.75,0,0,0,0,"Medium",3.17241577527865,10.6969148467847
"10",105904,134.95,"Merrell","Merrell Men's ColdPack Ice+ Moc Waterproof Winter Shoes","Protect your precious piggies from winter chill in the Merrell ColdPack Ice+ Moc Waterproof shoes. They offer warm, waterproof performance and good grip on icy terrain, thanks to Vibram Arctic Grip™.","general shoes",0,4.15,11.4166666666667,0,0,0,0,"Low",2.90119480246253,9.82550653445907
"11",106815,100,"OluKai","OluKai Women's Pehuea Shoes","Drop in and bliss out with the casual, breathable, classic comfort of the women's OluKai Pehuea shoes.","general shoes",0,4.05263157894737,7.92857142857143,0,0,0,0,"Low",2.46131590443435,10.5694616127345
"12",110659,97.93,"La_Sportiva","La Sportiva Men's Akyra Trail-Running Shoes","La Sportiva found inspiration in the structural concepts of the Japanese art of Origami, and then created Akyra men's trail-running shoes, which are aggressive, structured and stable.","general shoes",0,4.265625,11.3333333333333,0,0,0.1875,0.09375,"Low",2.73733838670011,10.4409972229886
"13",112156,120,"OluKai","OluKai Men's Nohea Moku Shoes","Equipped for wet conditions, the OluKai Nohea Moku shoes are inspired by and designed with a nautical life in mind.","general shoes",0,4.59574468085106,10.6818181818182,0,0,0,0,"Low",2.98225011153536,9.58419382176755
"14",112527,300,"Zamberlan","Zamberlan Women's Trail Lite EVO GTX Hiking Boots","Hit the trail and stay dry for countless seasons in the waterproof Zamberlan Trail Lite EVO GTX hiking boots, which are handcrafted from Italian leather, designed for women's feet and built to last.","hiking",0,5,8.2,0.333333333333333,0.555555555555556,0,0,"High",5.91004174905612,11.2161477273414
"15",112529,300,"Zamberlan","Zamberlan Men's Trail Lite EVO GTX Hiking Boots","Handcrafted from the finest Italian leather available, Zamberlan Trail Lite EVO GTX waterproof hiking boots offer over-the-ankle support with Vibram outsoles for unbeatable performance on the trail.","hiking",0,4.42857142857143,10.3333333333333,0.0714285714285714,0.214285714285714,0,0,"High",5.15457067346361,9.84522628474378
"16",112531,390,"Zamberlan","Zamberlan Men's Vioz Lux GTX RR Hiking Boots","Handcrafted in Italy, the supremely comfortable yet extra rugged Zamberlan Vioz Lux GTX RR waterproof breathable backpacking boots are made for backcountry use on or off trail, with or without a pack.","hiking",0,4.20588235294118,10.3333333333333,0.294117647058824,0.264705882352941,0,0,"High",6.09079093300833,9.3565689913029
"17",112595,300,"Lowa","Lowa Women's Lady Light GTX Hiking Boots","For backpacking gals with sensitive feet, the waterproof Lowa Lady Light GTX women's hiking boots are heaven-sent. To reduce irritation they have roomy toe boxes, one-piece uppers and flat lace loops.","hiking",0,4.27777777777778,7.58333333333333,0.166666666666667,0.277777777777778,0,0,"High",5.15310941412977,10.1370072796842
"18",112641,240,"Lowa","Lowa Men's Renegade GTX Lo Hiking Shoes","The updated Lowa Renegade GTX Lo hiking shoes offer more low-cut comfort, roomier toe boxes and more cushioning around the collars and tongues than their predecessors for more trail bliss.","hiking",0,3.5625,11.0454545454545,0.125,0.25,0,0,"High",4.05939333423788,9.513671040373
"19",113529,349,"Scarpa","Scarpa Men's Zodiac Plus GTX Hiking Boots","Going on a fast-and-light trip where low shoes just don't cut it? The Scarpa Zodiac Plus GTX hiking boots offer a low-profile fit and waterproof/breathable protection that excels on moderate terrain.","hiking",0,3.89473684210526,10.8333333333333,0.31578947368421,0.342105263157895,0,0,"High",5.56575059199204,9.48036014229465
"20",113731,57.83,"Merrell","Merrell Women's Moab 2 Mid Waterproof Hiking Boots","Merrell Moab 2 Waterproof Mid hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram traction. Wear them and you'll know why Moab stands for Mother-Of-All-Boots.","hiking",0,4.56603773584906,8.42857142857143,0.0188679245283019,0.150943396226415,0,0,"Low",2.47358230384938,11.1519869036047
"21",113793,75,"Salomon","Salomon XA Pro 3D CSWP J Trail-Running Shoes","Trail running isn't just for grownups. In this junior version of the adult classic, the Salomon XA Pro 3D CSWP J trail-running shoes deliver traction and waterproof protection for young adventurers.","general shoes",0,4.57142857142857,4.28571428571429,0,0,0,0,"Low",2.47169853654318,10.9117247523797
"22",113797,75,"Salomon","Salomon Speedcross Trail-Running Shoes","The next generation of trail runners needs the same footwear performance that their grownup counterparts enjoy. The grippy, supportive Salomon Speedcross kids' trail-running shoes deliver just that.","general shoes",0,4.4,4.88,0,0,0,0,"Low",2.37700893171069,10.4475219508618
"23",113798,65,"Salomon","Salomon XA Pro V8 J Trail-Running Shoes","Get your young one started early on the trails with the junior Salomon XA Pro V8 J trail-running shoes. Their Quicklace™ laces adjust with a single tug and won't snag on trail debris.","general shoes",0,4.38888888888889,2,0,0,0,0,"Low",2.26040043687069,9.64454470969515
"24",113821,53.83,"Merrell","Merrell Women's Moab 2 Waterproof Hiking Shoes","Experience out-of-the-box comfort in Merrell Moab 2 waterproof hiking shoes. With durable leather, supportive footbeds and Vibram traction, you'll understand why Moab stands for Mother-Of-All-Boots.","hiking",0,4.1063829787234,8.46428571428571,0.0425531914893617,0.276595744680851,0,0,"Low",2.33744535390149,10.6703846277959
"25",113824,53.83,"Merrell","Merrell Men's Moab 2 Waterproof Hiking Shoes","For Merrell, Moab stands for Mother-Of-All-Boots. Experience out-of-the-box comfort in Merrell Moab 2 waterproof men's hikers with their durable leather, supportive footbeds and Vibram traction.","hiking",0,4.07894736842105,10.5333333333333,0.0526315789473684,0.263157894736842,0,0,"Low",2.30497201517815,10.3592316612369
